X	Y	Z	Waktu	Gobs(mGal)	Tanggal
104.8805672	-5.413902082	140.72	07.17.59	1633.947167	11-06-2023
104.8820248	-5.438237405	146.3936841	07.55.16	1629.758467	11-06-2023
104.8769517	-5.437594092	178.4662873	08.49.53	1625.944967	11-06-2023
104.8728532	-5.438425518	161.4631961	09.43.03	1624.867	11-06-2023
104.8677892	-5.437474549	153.7269832	10.42.21	1633.1553	11-06-2023
104.8639706	-5.438414534	152.6468619	11.23.46	1629.163467	11-06-2023
104.8584459	-5.43901033	162.4986959	11.51.21	1626.916233	11-06-2023
104.8546454	-5.439172262	173.8628074	12.27.09	1626.1458	11-06-2023
104.8502946	-5.438130854	195.7936643	12.59.42	1618.053533	11-06-2023
104.8805672	-5.413902082	140.72	14.50.43	1635.272933	11-06-2023
104.8805672	-5.413902082	140.72	07.22.57	1638.0157	12-06-2023
104.88179	-5.433767	141.8853895	07.52.42	1634.2067	12-06-2023
104.877375	-5.433792	183.353359	08.57.27	1626.700133	12-06-2023
104.872418	-5.434231	157.3910566	09.43.50	1630.135967	12-06-2023
104.868431	-5.434223	152.5869685	10.50.50	1629.495767	12-06-2023
104.8655778	-5.436533227	169.9769599	11.26.18	1625.7843	12-06-2023
104.8586727	-5.434080056	149.8247611	13.45.55	1610.037033	12-06-2023
104.8805672	-5.413902082	140.72	16.04.10	1640.0552	12-06-2023
104.8806213	-5.413992557	140.72	07.25.19	1638.851433	13-06-2023
104.8816024	-5.428774704	154.3938338	08.01.41	1634.5241	13-06-2023
104.8773686	-5.42926237	157.6610346	08.26.44	1631.2636	13-06-2023
104.8725302	-5.428999021	165.6950242	08.51.14	1632.4861	13-06-2023
104.8683056	-5.429133812	180.6273496	09.33.21	1629.525233	13-06-2023
104.8634942	-5.429376999	201.4072919	10.05.02	1621.990833	13-06-2023
104.8581317	-5.431438359	297.4450698	10.49.07	1608.902633	13-06-2023
104.8542496	-5.433364333	323.9670468	11.35.49	1595.052467	13-06-2023
104.8806213	-5.413974464	140.72	13.59.29	1644.877567	13-06-2023
104.8805672	-5.413902082	140.72	07.30.06	1637.3765	14-06-2023
104.8590641	-5.420076206	207.2177645	08.32.18	1625.985167	14-06-2023
104.8548306	-5.419885229	258.828469	09.21.42	1612.185867	14-06-2023
104.8545497	-5.424191283	256.5571528	10.30.42	1609.6304	14-06-2023
104.8588825	-5.424617494	225.8393467	12.20.41	1618.332533	14-06-2023
104.8633689	-5.424546153	224.5843054	13.21.13	1615.952567	14-06-2023
104.8682252	-5.425397599	147.4354222	14.44.28	1631.129433	14-06-2023
104.8805672	-5.413902082	140.72	16.01.23	1636.077567	14-06-2023
104.8806123	-5.413992556	140.72	07.52.51	1636.2715	15-06-2023
104.8813956	-5.424559003	147.2872102	08.25.59	1636.6355	15-06-2023
104.8769273	-5.424476692	161.0348557	09.02.11	1636.945767	15-06-2023
104.8724048	-5.424674777	178.492055	09.30.29	1625.156433	15-06-2023
104.8806123	-5.413992556	140.72	10.42.58	1638.555367	15-06-2023
104.8806123	-5.413992556	140.72	07.25.56	1633.8963	17-06-2023
104.881595	-5.420044847	143.934855	07.52.00	1634.623133	17-06-2023
104.8774878	-5.420179727	165.2483605	08.28.48	1630.446367	17-06-2023
104.8732362	-5.420323595	182.9630587	09.52.49	1625.061733	17-06-2023
104.8682715	-5.419761653	258.5117263	11.52.02	1611.3949	17-06-2023
104.8650128	-5.420041376	265.9783891	12.54.24	1612.2979	17-06-2023
104.8628383	-5.41571667	199.9256106	13.51.09	1623.355967	17-06-2023
104.8624692	-5.411301905	187.9001539	14.50.33	1628.384467	17-06-2023
104.8806123	-5.413992556	140.72	15.53.07	1635.256467	17-06-2023
104.8806033	-5.413956368	140.72	07.29.10	1634.055233	18-06-2023
104.8602295	-5.416096026	226.72	08.25.32	1586.9763	18-06-2023
104.8546598	-5.416863666	328.72	09.14.40	1593.413867	18-06-2023
104.8495236	-5.416636249	366.72	09.55.14	1618.1976	18-06-2023
104.8654108	-5.416440966	234.72	11.58.55	1611.7407	18-06-2023
104.8811626	-5.415485334	134.72	13.13.15	1625.934433	18-06-2023
104.8775247	-5.416325932	103.72	13.44.37	1637.135	18-06-2023
104.8806033	-5.413956368	140.72	14.10.08	1637.234767	18-06-2023
104.8806213	-5.413974464	140.72	07.54.53	1635.116367	19-06-2023
104.858994	-5.411083991	188.9893436	08.43.39	1621.8557	19-06-2023
104.8572246	-5.411526854	230.0662622	09.07.57	1615.1131	19-06-2023
104.8786902	-5.411133485	174.279624	10.13.51	1634.133267	19-06-2023
104.8753052	-5.410915682	164.4367982	11.03.04	1632.026533	19-06-2023
104.8799539	-5.411160876	142.8763076	11.48.58	1638.1139	19-06-2023
104.8806213	-5.413974464	140.72	12.06.28	1637.114	19-06-2023
104.8805943	5.414001599	140.72	07.59.35	1635.093567	20-06-2023
104.8580829	-5.408523625	293.875413	09.04.08	1609.3954	20-06-2023
104.8549506	-5.408486698	304.5604356	09.28.43	1600.885533	20-06-2023
104.8523422	-5.407310027	357.7726755	09.55.24	1588.622733	20-06-2023
104.8639323	-5.40763841	169.7405646	11.31.30	1631.1264	20-06-2023
104.8678505	-5.40464489	170.274561	11.58.02	1630.3377	20-06-2023
104.8721831	-5.405794722	156.9543875	12.21.31	1633.254767	20-06-2023
104.8805058	-5.404909862	160.1178065	13.29.08	1630.984367	20-06-2023
104.8803877	-5.408573666	154.4260221	13.58.43	1631.4034	20-06-2023
104.8805943	-5.414001599	140.72	14.11.45	1636.984667	20-06-2023
104.8806213	-5.413947325	140.72	07.33.38	1634.704633	21-06-2023
104.8598003	-5.398437198	188.1837878	08.29.52	1623.2566	21-06-2023
104.8627613	-5.396872832	166.8780014	08.56.21	1630.765267	21-06-2023
104.863689	-5.393241999	165.5173794	09.17.36	1633.815	21-06-2023
104.867903	-5.392389998	155.2121902	09.33.21	1634.674367	21-06-2023
104.8720323	-5.392930585	149.7865856	09.56.05	1634.765333	21-06-2023
104.8685834	-5.396675096	158.3848029	10.25.47	1643.907467	21-06-2023
104.873205	-5.396314218	150.3079583	10.59.23	1635.5823	21-06-2023
104.8780883	-5.396740402	152.5411897	11.18.25	1633.553733	21-06-2023
104.8806394	-5.413938282	140.72	11.54.50	1636.037633	21-06-2023
