UTMX	UTMY	Terrain
486931	9398892	0.9362596
486369	9398963	0.6067529
485915	9398871	0.7719603
485354	9398976	1.144245
484931	9398872	1.3118024
484319	9398806	1.1845521
483898	9398788	1.3383109
483416	9398903	1.3648922
486904.8933	9399386.155	0.5112628
486415.8068	9399383.294	1.1248712
485866.6879	9399334.653	0.6951698
485425.0141	9399335.443	1.306729
485109	9399080	1.5226696
484344	9399351	3.5669325
486884	9399938	0.366748
486415	9399884	0.443928
485879	9399913	0.5635243
485411	9399898	0.7961661
484878	9399871	1.8366713
484284	9399643	1.1994818
483854	9399430	2.4844273
484387	9400899	0.7497874
483918	9400920	1.0194036
483887	9400444	0.7174364
484367	9400397	0.7354564
484864	9400405	1.2874109
485402	9400311	0.8992627
486861	9400404	0.2861464
486366	9400413	0.4512387
485865	9400391	0.4824868
486883	9400903	0.2810937
486428	9400888	0.4338766
485957	9400872	0.5349586
485407	9400934	1.6105376
485046	9400903	1.087561
484805	9401381	0.6480477
484764	9401869	0.8702387
484516	9401339	0.9605692
483899	9401254	2.7645148
483330	9401279	1.6739244
485090	9401301	0.8361822
486835	9401407	0.2570749
486432	9401314	0.7663419
484379	9401893	1.3919381
484183	9401844	1.5486191
486561	9401888	0.5501239
486186	9401912	0.5776627
486701	9401885	0.2955586
484278	9402176	2.420353
483931	9402180	1.9082308
483642	9402310	1.4774381
484926	9402274	0.8432763
485360	9402605	0.5706648
485840	9402478	0.4016324
486762	9402576	0.2795215
486749	9402171	0.255248
484468	9403291	1.0339882
484796	9403464	0.7935649
484898.6857	9403865.376	0.4174266
485365.5173	9403959.659	0.3033837
485823	9403900	0.2359986
485441	9403486	0.5693062
485953	9403526	0.389748
486494	9403479	0.2423348
485823	9403900	0.2359986
485441	9403486	0.5693062
485953	9403526	0.389748
486494	9403479	0.2423348
