Waktu	Tidal
07.15.59	0.10947472
07.55.16	0.096055462
08.49.53	0.067410083
09.43.03	0.034422512
10.42.21	-0.000444756
11.23.46	-0.019353181
11.51.21	-0.028192713
12.27.09	-0.034404741
12.59.42	-0.034585063
14.50.28	0.000148397
07.22.42	0.116498065
07.52.42	0.115368658
08.57.27	0.11473475
09.43.50	0.072331395
10.50.50	0.029185511
11.26.18	0.006619539
13.45.55	-0.04115116
16.04.10	0.004607727
07.25.19	0.103936373
08.01.41	0.113785066
08.26.44	0.116149563
08.51.14	0.114809501
09.33.21	0.104286688
10.05.02	0.090236816
10.49.07	0.064044818
11.35.49	0.03166204
13.52.29	0.103936373
07.30.06	0.077349474
08.32.18	0.106892092
09.21.42	0.114638648
10.30.42	0.099357435
12.20.41	0.028733754
13.21.13	-0.015449183
14.44.28	-0.056204953
16.01.38	-0.057998175
07.52.52	0.056407949
08.25.59	0.078819516
09.02.11	0.097795728
09.30.29	0.107405685
10.42.13	0.107516248
07.25.56	-0.038874144
07.52.00	-0.019196884
08.28.48	0.010944677
09.52.49	0.074426103
11.52.02	0.102121567
12.54.24	0.077486691
13.51.09	0.037569117
14.50.33	-0.011237198
15.53.07	-0.056357024
07.29.10	-0.061692861
08.25.32	-0.023525805
09.14.40	0.016183393
09.55.14	0.048030105
11.58.55	0.100277123
13.13.15	0.082689398
13.44.37	0.065002954
14.10.08	0.047334329
07.54.41	-0.064138462
08.43.39	-0.034888687
09.07.57	-0.017148986
10.13.51	0.033918892
11.03.04	0.067073606
11.48.58	0.088029555
12.06.03	0.09260877
07.59.35	-0.068908913
09.04.08	-0.039629217
09.28.43	-0.02384436
09.55.24	-0.005063064
11.31.30	0.060892703
11.58.02	0.07436239
12.21.31	0.083315209
13.29.08	0.090567819
13.58.43	0.084671907
14.11.30	0.080540197
07.33.38	-0.063828577
08.29.52	-0.060362308
08.56.21	-0.052516716
09.17.36	-0.043712131
09.33.21	-0.03594163
09.56.05	-0.02319312
10.25.47	-0.004589066
10.59.23	0.017647719
11.18.25	0.030112124
11.54.50	0.052209036
