UTMX	UTMY	dx
483210	9398740	-0.0017713
483340	9398740	-0.0005288
483470	9398740	0.0024126
483600	9398740	0.0055228
483730	9398740	0.0078986
483860	9398740	0.0039412
483990	9398740	-0.0022658
484120	9398740	-0.0013383
484250	9398740	-0.0002082
484380	9398740	-0.002651
484510	9398740	-0.0015424
484640	9398740	0.0031204
484770	9398740	0.0063476
484900	9398740	0.0064488
485030	9398740	0.0053674
485160	9398740	0.0050163
485290	9398740	0.0020129
485420	9398740	-0.0042139
485550	9398740	-0.009167
485680	9398740	-0.0105194
485810	9398740	-0.007796
485940	9398740	-0.0011657
486070	9398740	0.004281
486200	9398740	0.005247
486330	9398740	0.0036028
486460	9398740	0.0013134
486590	9398740	-0.0000041
486720	9398740	0.000047
486850	9398740	0.0013881
486980	9398740	0.0024039
