UTMX	UTMY	dy
483210	9398740	-0.00535
483340	9398740	-0.00871
483470	9398740	-0.01128
483600	9398740	-0.01217
483730	9398740	-0.0143
483860	9398740	-0.01801
483990	9398740	-0.01987
484120	9398740	-0.02167
484250	9398740	-0.02325
484380	9398740	-0.02343
484510	9398740	-0.0219
484640	9398740	-0.01919
484770	9398740	-0.01592
484900	9398740	-0.01088
485030	9398740	-0.01144
485160	9398740	-0.00832
485290	9398740	0.00004
485420	9398740	0.00266
485550	9398740	-0.00128
485680	9398740	-0.00406
485810	9398740	-0.00685
485940	9398740	-0.0102
486070	9398740	-0.00457
486200	9398740	-0.00153
486330	9398740	0.00118
486460	9398740	0.00062
486590	9398740	-0.00142
486720	9398740	-0.00296
486850	9398740	-0.0046
486980	9398740	-0.00567
