UTMX	UTMY	Z	CBA					UTMX	UTMY	dx
486931.0005	9398892	146.3936841	73.72047343					483210	9398740	-0.002446
486368.9997	9398963	178.4662873	75.15381586					483340	9398740	-0.00138
485914.9962	9398871	161.4631961	71.00639675					483470	9398740	0.001658
485353.995	9398976	153.7269832	78.10553695					483600	9398740	0.005451
484931.002	9398872	152.6468619	73.94299519					483730	9398740	0.00827
484319.0037	9398806	162.4986959	73.23723444					483860	9398740	0.007669
483897.9976	9398788	173.8628074	74.54841386					483990	9398740	0.008491
483415.9978	9398903	195.7936643	70.33862977					484120	9398740	0.01226
486904.8933	9399386.155	141.8853895	72.94800302					484250	9398740	0.010053
486415.8068	9399383.294	183.353359	73.23422296					484380	9398740	-0.001448
485866.6879	9399334.653	157.3910566	71.37494045					484510	9398740	-0.010293
485425.0141	9399335.443	152.5869685	70.19623421					484640	9398740	-0.006747
485108.9977	9399080	169.9769599	69.61769681					484770	9398740	0.003126
484344.0007	9399351	149.8247611	51.78929825					484900	9398740	0.012035
486884.0033	9399938	154.3938338	74.17934989					485030	9398740	0.015537
486414.9964	9399884	157.6610346	71.19237828					485160	9398740	0.011252
485878.9955	9399913	165.6950242	73.5928361					485290	9398740	-0.000935
485411	9399898	180.6273496	72.88140551					485420	9398740	-0.015477
484878.0021	9399871	201.4072919	69.59825615					485550	9398740	-0.024882
484284.0011	9399643	297.4450698	72.32367035					485680	9398740	-0.025604
483853.9971	9399430	323.9670468	63.73562514					485810	9398740	-0.017352
484386.9993	9400899	207.2177645	77.8425644					485940	9398740	-0.002778
483918.0025	9400920	258.828469	73.69660081					486070	9398740	0.010071
483886.9982	9400444	256.5571528	70.5381161					486200	9398740	0.014643
484366.9983	9400397	225.8393467	73.99253056					486330	9398740	0.011824
484864.001	9400405	224.5843054	72.06818511					486460	9398740	0.00558
485402.0035	9400311	147.4354222	73.22967161					486590	9398740	-0.000382
486861.0029	9400404	147.2872102	77.69987753					486720	9398740	-0.004552
486366.002	9400413	161.0348557	80.14740809					486850	9398740	-0.00685
485865.0031	9400391	178.492055	71.13477351					486980	9398740	-0.007577
486882.995	9400903	143.934855	77.91349374							
486427.9983	9400888	165.2483605	77.63604711							
485957.0052	9400872	182.9630587	75.36138181							
485406.9973	9400934	258.5117263	76.00883278							
485046.0018	9400903	265.9783891	77.53169171							
484805.0003	9401381	199.9256106	76.21348054							
484764.0002	9401869	187.9001539	79.18232974							
484516.0022	9401339	236.9611893	45.29825846							
483899.0011	9401254	343.2634069	71.41648121							
483329.9978	9401279	382.2052029	101.6087937							
485090.0044	9401301	243.9495981	69.74095755							
486834.9946	9401407	137.9515181	64.84514497							
486432.0001	9401314	104.9435098	70.72169777							
484379.0027	9401893	188.9893436	72.91265761							
484182.9952	9401844	230.0662622	73.48209576							
486561.0015	9401888	174.279624	81.01480642							
486185.9974	9401912	164.4367982	76.78372294							
486700.9981	9401885	142.8763076	78.36305469							
484278.0024	9402176	293.875413	80.37755711							
483930.9952	9402180	304.5604356	73.15230354							
483641.9967	9402310	357.7726755	69.87106848							
484925.9957	9402274	169.7405646	77.62797703							
485359.9949	9402605	170.274561	76.57819313							
485840.0037	9402478	156.9543875	76.80607391							
486762.0032	9402576	160.1178065	74.6288307							
486748.9993	9402171	154.4260221	73.77818522							
484468.0046	9403291	188.1837878	74.51917058							
484796	9403464	166.8780014	77.8593153							
484898.6857	9403865.376	165.5173794	80.24291541							
485365.5173	9403959.659	155.2121902	79.07754188							
485822.9987	9403900	149.7865856	78.00620559							
485440.9982	9403486	158.3848029	88.81463499							
485952.9952	9403526	150.3079583	78.70420538							
486494.0027	9403479	152.5411897	76.8276253							
